order_item_id,order_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_amount
1,1,84,1,6072.0,10,6072.0,607.2,5464.8
2,1,54,4,2554.0,0,10216.0,0.0,10216.0
3,1,71,3,6080.0,15,18240.0,2736.0,15504.0
4,2,80,2,1406.0,20,2812.0,562.4,2249.6
5,3,49,4,4162.0,0,16648.0,0.0,16648.0
6,4,99,1,7459.0,0,7459.0,0.0,7459.0
7,4,5,3,37543.0,15,112629.0,16894.35,95734.65
8,4,34,2,7864.0,0,15728.0,0.0,15728.0
9,5,95,3,3431.0,0,10293.0,0.0,10293.0
10,5,41,1,4970.0,20,4970.0,994.0,3976.0
11,6,59,1,4493.0,15,4493.0,673.95,3819.05
12,7,79,3,566.0,5,1698.0,84.9,1613.1
13,7,69,1,2652.0,0,2652.0,0.0,2652.0
14,8,81,2,4250.0,0,8500.0,0.0,8500.0
15,8,60,4,2749.0,0,10996.0,0.0,10996.0
16,8,7,1,10982.0,10,10982.0,1098.2,9883.8
17,9,93,1,9197.0,0,9197.0,0.0,9197.0
18,9,65,1,7789.0,15,7789.0,1168.35,6620.65
19,10,18,1,29993.0,20,29993.0,5998.6,23994.4
20,10,77,4,1013.0,15,4052.0,607.8,3444.2
21,11,20,3,39070.0,20,117210.0,23442.0,93768.0
22,11,49,4,4162.0,10,16648.0,1664.8,14983.2
23,12,10,2,11404.0,20,22808.0,4561.6,18246.4
24,12,75,4,1408.0,15,5632.0,844.8,4787.2
25,12,98,3,2339.0,5,7017.0,350.85,6666.15
26,13,25,4,3012.0,10,12048.0,1204.8,10843.2
27,13,61,2,2121.0,10,4242.0,424.2,3817.8
28,13,31,3,5370.0,0,16110.0,0.0,16110.0
29,13,69,2,2652.0,5,5304.0,265.2,5038.8
30,14,13,2,55796.0,10,111592.0,11159.2,100432.8
31,14,4,3,12687.0,0,38061.0,0.0,38061.0
32,15,80,1,1406.0,10,1406.0,140.6,1265.4
33,16,31,2,5370.0,0,10740.0,0.0,10740.0
34,16,27,4,6268.0,10,25072.0,2507.2,22564.8
35,16,65,2,7789.0,10,15578.0,1557.8,14020.2
36,17,61,3,2121.0,0,6363.0,0.0,6363.0
37,18,28,4,7577.0,10,30308.0,3030.8,27277.2
38,18,70,4,7332.0,20,29328.0,5865.6,23462.4
39,18,98,4,2339.0,10,9356.0,935.6,8420.4
40,19,11,4,49672.0,5,198688.0,9934.4,188753.6
41,19,1,3,53878.0,5,161634.0,8081.7,153552.3
42,19,85,4,3168.0,0,12672.0,0.0,12672.0
43,19,68,2,8743.0,0,17486.0,0.0,17486.0
44,20,25,2,3012.0,15,6024.0,903.6,5120.4
45,21,40,3,8752.0,10,26256.0,2625.6,23630.4
46,22,14,4,2689.0,5,10756.0,537.8,10218.2
47,22,6,3,20009.0,0,60027.0,0.0,60027.0
48,23,90,4,1017.0,0,4068.0,0.0,4068.0
49,24,53,4,5793.0,5,23172.0,1158.6,22013.4
50,24,34,4,7864.0,0,31456.0,0.0,31456.0
51,25,25,3,3012.0,15,9036.0,1355.4,7680.6
52,26,78,4,6416.0,15,25664.0,3849.6,21814.4
53,26,26,4,1015.0,0,4060.0,0.0,4060.0
54,26,39,4,6381.0,0,25524.0,0.0,25524.0
55,27,28,4,7577.0,15,30308.0,4546.2,25761.8
56,27,48,2,6795.0,5,13590.0,679.5,12910.5
57,28,12,2,17050.0,20,34100.0,6820.0,27280.0
58,28,8,4,46151.0,15,184604.0,27690.6,156913.4
59,28,40,2,8752.0,0,17504.0,0.0,17504.0
60,28,95,4,3431.0,5,13724.0,686.2,13037.8
61,29,90,2,1017.0,10,2034.0,203.4,1830.6
62,30,17,1,64036.0,20,64036.0,12807.2,51228.8
63,31,10,1,11404.0,0,11404.0,0.0,11404.0
64,32,86,1,8140.0,5,8140.0,407.0,7733.0
65,33,31,3,5370.0,5,16110.0,805.5,15304.5
66,33,67,2,9082.0,20,18164.0,3632.8,14531.2
67,33,93,2,9197.0,0,18394.0,0.0,18394.0
68,34,43,1,7661.0,5,7661.0,383.05,7277.95
69,35,99,3,7459.0,15,22377.0,3356.55,19020.45
70,35,20,4,39070.0,10,156280.0,15628.0,140652.0
71,36,74,2,8876.0,5,17752.0,887.6,16864.4
72,37,60,2,2749.0,0,5498.0,0.0,5498.0
73,38,30,1,9049.0,15,9049.0,1357.35,7691.65
74,39,82,4,9833.0,0,39332.0,0.0,39332.0
75,39,23,4,6472.0,20,25888.0,5177.6,20710.4
76,39,61,3,2121.0,20,6363.0,1272.6,5090.4
77,40,40,2,8752.0,0,17504.0,0.0,17504.0
78,40,27,2,6268.0,10,12536.0,1253.6,11282.4
79,40,67,1,9082.0,0,9082.0,0.0,9082.0
80,41,48,4,6795.0,10,27180.0,2718.0,24462.0
81,42,8,2,46151.0,0,92302.0,0.0,92302.0
82,43,36,3,2955.0,10,8865.0,886.5,7978.5
83,43,90,2,1017.0,10,2034.0,203.4,1830.6
84,44,14,4,2689.0,20,10756.0,2151.2,8604.8
85,44,64,3,4206.0,5,12618.0,630.9,11987.1
86,44,68,1,8743.0,5,8743.0,437.15,8305.85
87,45,72,2,9649.0,15,19298.0,2894.7,16403.3
88,46,65,4,7789.0,0,31156.0,0.0,31156.0
89,47,88,2,7798.0,20,15596.0,3119.2,12476.8
90,48,53,1,5793.0,5,5793.0,289.65,5503.35
91,49,26,4,1015.0,0,4060.0,0.0,4060.0
92,49,88,4,7798.0,0,31192.0,0.0,31192.0
93,50,65,3,7789.0,0,23367.0,0.0,23367.0
94,51,85,1,3168.0,10,3168.0,316.8,2851.2
95,51,30,3,9049.0,0,27147.0,0.0,27147.0
96,52,90,2,1017.0,20,2034.0,406.8,1627.2
97,53,53,4,5793.0,10,23172.0,2317.2,20854.8
98,54,7,3,10982.0,20,32946.0,6589.2,26356.8
99,55,88,4,7798.0,20,31192.0,6238.4,24953.6
100,55,25,1,3012.0,5,3012.0,150.6,2861.4
101,55,57,1,7649.0,0,7649.0,0.0,7649.0
102,55,51,1,3978.0,20,3978.0,795.6,3182.4
103,56,20,3,39070.0,10,117210.0,11721.0,105489.0
104,56,1,2,53878.0,10,107756.0,10775.6,96980.4
105,57,90,1,1017.0,20,1017.0,203.4,813.6
106,58,23,4,6472.0,5,25888.0,1294.4,24593.6
107,58,3,3,8939.0,15,26817.0,4022.55,22794.45
108,59,71,4,6080.0,10,24320.0,2432.0,21888.0
109,59,86,3,8140.0,0,24420.0,0.0,24420.0
110,59,26,3,1015.0,20,3045.0,609.0,2436.0
111,60,80,2,1406.0,10,2812.0,281.2,2530.8
112,61,49,1,4162.0,10,4162.0,416.2,3745.8
113,62,30,1,9049.0,20,9049.0,1809.8,7239.2
114,62,81,3,4250.0,15,12750.0,1912.5,10837.5
115,62,27,1,6268.0,0,6268.0,0.0,6268.0
116,63,40,1,8752.0,0,8752.0,0.0,8752.0
117,63,38,1,1154.0,0,1154.0,0.0,1154.0
118,63,15,3,40783.0,0,122349.0,0.0,122349.0
119,64,13,2,55796.0,0,111592.0,0.0,111592.0
120,65,32,1,3478.0,20,3478.0,695.6,2782.4
121,65,38,1,1154.0,20,1154.0,230.8,923.2
122,65,27,3,6268.0,15,18804.0,2820.6,15983.4
123,66,75,4,1408.0,20,5632.0,1126.4,4505.6
124,67,15,1,40783.0,15,40783.0,6117.45,34665.55
125,67,92,1,5380.0,0,5380.0,0.0,5380.0
126,67,49,2,4162.0,0,8324.0,0.0,8324.0
127,68,46,1,6027.0,0,6027.0,0.0,6027.0
128,68,28,1,7577.0,20,7577.0,1515.4,6061.6
129,68,73,1,3368.0,0,3368.0,0.0,3368.0
130,69,75,2,1408.0,0,2816.0,0.0,2816.0
131,70,67,1,9082.0,10,9082.0,908.2,8173.8
132,71,39,2,6381.0,10,12762.0,1276.2,11485.8
133,72,16,4,28374.0,15,113496.0,17024.4,96471.6
134,72,65,2,7789.0,10,15578.0,1557.8,14020.2
135,72,75,3,1408.0,20,4224.0,844.8,3379.2
136,73,43,1,7661.0,10,7661.0,766.1,6894.9
137,73,48,2,6795.0,15,13590.0,2038.5,11551.5
138,74,21,2,8617.0,0,17234.0,0.0,17234.0
139,75,100,2,7504.0,20,15008.0,3001.6,12006.4
140,76,8,1,46151.0,0,46151.0,0.0,46151.0
141,77,75,3,1408.0,0,4224.0,0.0,4224.0
142,78,44,3,7467.0,15,22401.0,3360.15,19040.85
143,79,67,3,9082.0,0,27246.0,0.0,27246.0
144,80,49,3,4162.0,20,12486.0,2497.2,9988.8
145,81,8,1,46151.0,20,46151.0,9230.2,36920.8
146,82,34,3,7864.0,5,23592.0,1179.6,22412.4
147,82,23,2,6472.0,0,12944.0,0.0,12944.0
148,82,66,1,2116.0,0,2116.0,0.0,2116.0
149,83,4,1,12687.0,15,12687.0,1903.05,10783.95
150,84,32,4,3478.0,0,13912.0,0.0,13912.0
151,84,63,4,2296.0,0,9184.0,0.0,9184.0
152,85,24,1,2958.0,5,2958.0,147.9,2810.1
153,85,95,3,3431.0,20,10293.0,2058.6,8234.4
154,85,71,1,6080.0,15,6080.0,912.0,5168.0
155,85,58,3,1598.0,20,4794.0,958.8,3835.2
156,86,68,4,8743.0,5,34972.0,1748.6,33223.4
157,86,73,4,3368.0,5,13472.0,673.6,12798.4
158,86,91,4,986.0,5,3944.0,197.2,3746.8
159,87,80,3,1406.0,15,4218.0,632.7,3585.3
160,87,6,2,20009.0,0,40018.0,0.0,40018.0
